,编号,测试人员,维修人员,日期,系统,BUG标签,问题描述,补充信息,优先级,修复状态,备注,版本号,解决情况,,,,
TRUE,,欧龙,,4月26日,360浏览器,逻辑错误,"模块：认证管理
【APPID索引】应支持模糊搜索；",,最重要,验证通过,,,"测试时间：2020.04.29 09：41
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,4月26日,chrome,逻辑错误,"终端类型：PC
浏览器：chrome
问题操作描述：
运营管理后台-版本发布管理，新增/编辑选择‘发布类型’后无法保存，再次进入编辑界面已经显示“请选择”提示",,最重要,验证通过,,,"测试时间：2020.04.30 16:15
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,4月26日,chrome,界面优化,"终端类型：PC
浏览器：chrome
问题操作描述：
运营管理后台-版本发布管理，选择发布类型为全量时，发布管理界面的发布量显示“全量”两个字",,最重要,验证通过,,,"测试时间：2020.04.30 16:16
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,4月26日,chrome,界面优化,"终端类型：PC
浏览器：chrome
问题操作描述：
运营管理后台-版本发布管理，新增版本发布项失败，点击保存后，列表没有更新",,最重要,验证通过,,,"测试时间：2020.04.30 18:36
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月26日,chrome,界面优化,加v电话设置页面限制周期显示内容有误,,一般,验证通过,,,"测试时间：2020.04.28 17：43
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月26日,chrome,逻辑错误,加V电话设置新增页面选择限制周期，点击新增没反应，也没有给出提示,,最重要,验证通过,,,"测试时间：2020.04.30 16:32
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月26日,chrome,逻辑错误,加V电话设置新增页面选择限制周期和生效时间，点击新增按钮，提示新增失败，该限制周期已存在,,最重要,验证通过,只能有4个周期，按每年，每月，每周，每日，重复的话，会显示该周期已存在,,"测试时间：2020.04.30 16:34
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月26日,chrome,功能缺失,加V电话设置-黑白名单配置页面，点击新增弹出页面没有确认和取消按钮,,最重要,验证通过,,,"测试时间：2020.04.30 16:37
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月26日,chrome,逻辑错误,加V电话设置-黑白名单配置页面，批量上传黑白名单上传不成功,,最重要,验证通过,,,"测试时间：2020.04.30 16:44
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月26日,chrome,逻辑错误,用户信息列表界面-输入搜索条件，选择是否实名认证，搜索结果没有按照搜索条件展示,,一般,验证通过,空值没有过滤,,"测试时间：2020.06.01 11:55
验证测试通过，待产品确认",,,,
TRUE,,清云,,4月26日,chrome,逻辑错误,"用户信息列表界面-输入搜索条件，选择
是否开通SIMeID，搜索结果没有按照搜索条件展示",,一般,验证通过,,,"测试时间：2020.04.28 17：45
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月26日,chrome,逻辑错误,用户信息列表界面-输入搜索条件，手机号框输入带有前后空格，点击查找没有自动去除前后空格,,一般,验证通过,,,"测试时间：2020.04.30 16:51
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月26日,chrome,逻辑错误,用户信息列表界面-输入搜索条件，账号名框输入带有前后空格，点击查找没有自动去除前后空格,,一般,验证通过,,,"测试时间：2020.04.30 16:51
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月26日,chrome,逻辑错误,通话信息列表界面-所有输入搜索条件，筛选都失败,,一般,验证通过,有些手机好是没有数据的，找有数据的做一下筛选,,"测试时间：2020.04.30 16:48
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月26日,chrome,功能缺失,用户信息列表界面-输入搜索条件，账号状态下拉框中没有全部这个选项,,最重要,验证通过,,,"测试时间：2020.04.30 16:49
测试验证通过，待产品确认",,,,
TRUE,,广榕,,4月26日,chrome,界面优化,用户信息管理-账号状态，下拉筛选条件与字段展示不一致；一个是锁定，一个是封禁,,一般,验证通过,,,"测试时间：2020.04.30 16:52
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月26日,chrome,功能缺失,用户信息列表界面-输入搜索条件，是否实名认证下拉框中没有全部这个选项,,最重要,验证通过,,,"测试时间：2020.04.30 16:53
测试验证通过，待产品确认",,,,
TRUE,,广榕,,4月27日,chrome,逻辑错误,刷新页面就报404错误,,最重要,验证通过,,,"测试时间：2020.04.29 09：09
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月30日,chrome,逻辑错误,加V电话设置-黑白名单配置，组合输入条件搜索，搜索结果数据有误,,一般,验证通过,要按查询可以搜寻结果，不按查询是之前的结果,,"测试时间：2020.05.08 15:35
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月30日,chrome,逻辑错误,加V电话设置-黑白名单配置，白名单新增号码提示请求参数错误,,最重要,验证通过,,,"测试时间：2020.05.08 15:35
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月30日,chrome,逻辑错误,加V电话设置-黑白名单配置，用户号码新增成功，提示上架成功！,,一般,验证通过,,,"测试时间：2020.05.08 15:45
测试验证通过，待产品确认",,,,
TRUE,,清云,,4月30日,chrome,逻辑错误,用户信息管理列表，未选中选项记录，点击账号批量封禁/解封，弹出提示是否确定封禁/解封，点击确认，弹出提示封禁/解封成功！,,一般,验证通过,,,"测试时间：2020.05.08 15:50
测试验证通过，待产品确认",,,,
TRUE,,少东,,5月7日,chrome,逻辑错误,用户信息管理-通话详情，名片发送状态，可选项为全部、未发送、是、否，应改成全部、未发送、发送成功、发送失败,,一般,验证通过,,,"测试时间：2020.05.08 15:50
测试验证通过，待产品确认",,,,
TRUE,,少东,,5月7日,chrome,逻辑错误,用户信息管理-通话详情，是否加V电话可选择项有全部、普通、加V电话、快显自定义、快显模板，应该只存在全部、普通、加V电话,,一般,验证通过,,,"测试时间：2020.05.08 15:51
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月7日,chrome,逻辑错误,用户信息管理-通话详情，是否接通可选择项有全部、是、否，应改成全部、已接通、未接通,,一般,验证通过,,,"测试时间：2020.05.08 15:51
测试验证通过，待产品确认",,,,
TRUE,,少东,,5月7日,chrome,逻辑错误,用户信息管理-通话详情，拨出的电话如果是加V电话，名片信息中应显示名片内容,,一般,验证通过,,,"测试时间：2020.05.14 09:05
测试验证通过，待产品确认",,,,
TRUE,,少东,,5月7日,chrome,逻辑错误,用户信息管理-通话详情，查询条件中应该有两个按钮，搜索和刷新，现在只有一个按钮，无法搜索,,一般,验证通过,,,"测试时间：2020.05.08 15:55
测试验证通过，待产品确认",,,,
TRUE,,少东,,5月7日,chrome,逻辑错误,用户信息管理-通话详情，列表中是否加V电话下显示加V电话或普通电话即可，不需要显示成“是加V”,,一般,验证通过,,,"测试时间：2020.05.08 15:55
测试验证通过，待产品确认",,,,
TRUE,,少东,,5月7日,chrome,逻辑错误,用户信息管理-登录信息，登录方式显示不正确，应显示一键登录、短信验证码登录或SIM快捷登录,,一般,验证通过,,,"测试时间：2020.05.14 09:05
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月7日,chrome,逻辑错误,认证管理查询条件筛选，点击刷新按钮，重置查询条件，预期是仅对列表刷新,,一般,验证通过,,,"测试时间：2020.06.01 11:58
验证测试通过，待产品确认",,,,
TRUE,,少东,,5月7日,chrome,逻辑错误,用户信息管理中点击账号封禁，直接封禁，逻辑错误，应该弹出提示框，提示语，是否确认封禁此账号？再次点击确认后才封禁账号，防止误操作,,最重要,验证通过,,,"测试时间：2020.05.08 15:58
测试验证通过，待产品确认",,,,
TRUE,,少东,,5月7日,chrome,逻辑错误,用户信息管理中筛选条件中应该是账号名称，现在显示账号者,,一般,验证通过,,,"测试时间：2020.05.08 15:58
测试验证通过，待产品确认",,,,
TRUE,,东蔚,,5月7日,chrome,界面优化,"左上角应为logo，格子与原稿设计不一致，数据应为background:rgba(38,46,67,1);
box-shadow:0px 1px 3px 0px rgba(0,0,0,0.5)",,一般,验证通过,,,"测试时间：2020.05.18 17:05
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月7日,chrome,逻辑错误,用户信息管理列表和基础信息所属地区详情为空,,一般,验证通过,,,"测试时间：2020.05.14 09:35
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月7日,chrome,逻辑错误,用户信息管理-通话信息，查询条件名片是否发送状态应改成名片是否发送成功,,一般,验证通过,,,"测试时间：2020.06.01 11:58
验证测试通过，待产品确认",,,,
TRUE,,清云,,5月7日,chrome,逻辑错误,用户信息管理-通话信息，列表中名片是否发送成功应显示未发送、发送成功、发送失败,,一般,验证通过,,,"测试时间：2020.05.08 16:05
测试验证通过，待产品确认",,,,
TRUE,,东蔚,,5月7日,chrome,界面优化,点击三横收起左边栏时方框位置应有“超级号运营后台”字样,,一般,验证通过,,,"测试时间：2020.05.14 09:10
测试验证通过，待产品确认",,,,
FALSE,,东蔚,,5月7日,chrome,界面优化,未使用设计稿icon,,一般,已修复待验证,,,,,,,
FALSE,,东蔚,,5月7日,chrome,界面优化,表单中内容过多时，将表头、列中的“ID”和“操作”固定，方便查看表内数据。补充信息来自elementUI,,一般,已修复待验证,,,,,,,
TRUE,,清云,,5月7日,chrome,逻辑错误,版本发布管理新增，下载地址为必填项，新增时禁止输入内容,,最重要,验证通过,上传安装包自动输入,,"测试时间：2020.05.08 16:05
测试验证通过，待产品确认",,,,
FALSE,,东蔚,,5月7日,chrome,界面优化,所有弹窗样式需要优化。补充信息为设计稿样式,,一般,已修复待验证,,,,,,,
FALSE,,东蔚,,5月8日,chrome,界面优化,左侧栏整体样式与设计稿不一致。补充信息为设计稿设计,,一般,待修复,,,,,,,
FALSE,,东蔚,,5月8日,chrome,界面优化,【版本升级发布管理】小屏选择时间时弹出框错位,,一般,待修复,,,,,,,
TRUE,,东蔚,,5月8日,chrome,界面优化,【版本升级发布管理】弹窗优化：整体大小调整为420✖️772；上传文件按钮优化；取消与确认部分与主题之间的横线；取消确定按钮样式优化；版本升级描述输入框样式调整，以及应该为不可拉伸的输入框。,,一般,验证通过,,,,,,,
TRUE,,东蔚,,5月8日,chrome,界面优化,【版本升级发布管理】查找重置新增按钮位置调整,,一般,验证通过,,,"测试时间：2020.05.11 17:35
测试验证通过，待产品确认",,,,
TRUE,,东蔚,,5月8日,chrome,界面优化,【渠道信息管理】整体下拉框填充颜色为#1E2336；说明文字与下拉框之间padding4px；按钮位置调整。,,一般,验证通过,,,"测试时间：2020.05.14 09:35
测试验证通过，待产品确认",,,,
TRUE,,东蔚,,5月8日,chrome,界面优化,【认证管理】下拉框样式与其他页面下拉框样式需保持一致；表单内间距：“修改人”与“操作”之间间隔过大，“修改时间”可以完整显示。,,一般,验证通过,,,"测试时间：2020.05.18 17:00
测试验证通过，待产品确认",,,,
TRUE,,东蔚,,5月8日,chrome,界面优化,【加V电话新增】小屏弹窗错位，弹窗样式，弹窗宽度为420px,,一般,验证通过,,,"测试时间：2020.05.18 17:00
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月8日,chrome,逻辑错误,加V电话设置-黑白名单配置，新增号码成功，页面一直停留在界面上，需要手动关闭；而新增成功的记录需要刷新页面才能看到,,一般,验证通过,,,"测试时间：2020.05.18 17:00
测试验证通过，待产品确认",,,,
TRUE,,东蔚,,5月9日,chrome,逻辑错误,【渠道管理新增】填写ch之后应自动检测不允许重复。补充信息为设计稿,,一般,验证通过,,点击图标监测或者点击提交监测,"测试时间：2020.06.02 16：10
测试验证已修复，待产品确认",,,,
FALSE,,东蔚,,5月9日,chrome,界面优化,【业务信息管理】按钮不对,,一般,待修复,,,,,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-限制配置/模板分类/通用模板/定制模板/自定义模板列表，页面ID没有从1000001开始,,最重要,验证通过,后台生成规则按照的这个逻辑,,"测试时间：2020.05.12 09:10
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-限制配置新增，每月限制条数输入浮点数或负数没有给出提示,,最重要,验证通过,,,"测试时间：2020.05.12 12:00
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-限制配置新增，每日发送限制输入浮点数或负数没有给出提示,,最重要,验证通过,,,"测试时间：2020.05.12 12:05
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,界面优化,"消息管理配置-限制配置新增，每日限制条数
应改成每月限制条数，每月发送限制应改成每日发送限制",,一般,验证通过,,,"测试时间：2020.05.14 09:30
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-限制配置/模板分类新增，优先级输入浮点数或负数没有给出提示,,最重要,验证通过,,,"测试时间：2020.05.12 12:05
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-限制配置/模板分类/通用模板/定制模板页面，点击白名单-限制配置白名单新增，可以新增重复的手机号码,,最重要,验证通过,,,"测试时间：2020.05.12 09:38
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,界面优化,消息管理配置-模板管理-模板分类新增，模板分类类型选项通用模板和定制模板，应改成通用和定制,,一般,验证通过,,,"测试时间：2020.05.12 11:55
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-模板管理-模板分类新增，填写完信息点击确定按钮，提示出现异常，请刷新再试或重新登录，一直在加载中,,最重要,验证通过,,,"测试时间：2020.05.12 09:40
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-模板管理-模板分类编辑，输入已有的模板分类名，并没有自动检查名字和冲突红色文字预警提示，点击确定预期是弹窗提示保持失败，模板分类名冲突,,一般,验证通过,需要点击才能提示,,,,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-模板管理-模板分类列表页面，点击上架/下架，没有弹窗确认是否发布上架/下架,,最重要,验证通过,,,"测试时间：2020.05.12 11:45
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-模板管理-通用模板/定制模板新增，模板内容长度超过51个字，没有提示长度异常,,一般,验证通过,,,"测试时间：2020.05.12 11:40
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-模板管理-通用模板/定制模板新增，是否支持自定义选择否，模板内容可输入，预期是不支持输入自定义字段,,一般,验证通过,,,"测试时间：2020.05.14 16:30
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,功能缺失,消息管理配置-模板管理-通用模板/定制模板新增，选择列表内容输入框右边缺失+号,,最重要,验证通过,,,"测试时间：2020.05.14 09:30
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-模板管理-自定义模板列表，号码没有显示对应手机号码,,一般,验证通过,需要客户端操作才会显示对应手机号码,,,,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-模板管理-自定义模板列表，审核人没有显示对应的信息,,一般,验证通过,,,"测试时间：2020.05.12 17:15
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月11日,chrome,逻辑错误,消息管理配置-模板管理-自定义模板列表，点击操作通过/失败，没有弹窗确认审核结果,,最重要,验证通过,,,"测试时间：2020.05.12 11:38
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月12日,chrome,逻辑错误,消息管理配置-发送记录，三个快捷选项不一致，不支持自定义选择时间周期，只能选择在一个月时间内,,一般,验证通过,首先选择结束时间，再选择开始时间,,"测试时间：2020.05.14 09:30
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月14日,chrome,功能缺失,消息管理配置-模板管理-通用模板/定制模板，黑白名单页面缺失导出功能,,最重要,验证通过,,,"测试时间：2020.05.14 11:40
测试验证通过，待产品确认",,,,
TRUE,,广榕,,5月14日,chrome,逻辑错误,加V电话新增编辑-传输报文里的时间与页面时间输入框里输入的时间不一致,,最重要,验证通过,,,"测试时间：2020.05.18 16:55
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月15日,chrome,逻辑错误,消息管理配置-限制配置，点击编辑修改优先级，保存出现错误提示,,一般,验证通过,,,"测试时间：2020.05.18 16:55
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月15日,chrome,界面优化,消息管理配置-模板管理-通用模板/定制模板，修改模板分类提示修改成功，列表中显示还是原来的模版,,一般,验证通过,,,"测试时间：2020.05.18 16:55
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,5月15日,chrome,逻辑错误,新建发送限制，没有自动生成ID，ID显示为0,,一般,验证通过,,,"测试时间：2020.05.18 17:55
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,5月15日,chrome,逻辑错误,消息发送限制新建页面，上传名单后 ，点击查看名单，点击不响应,,一般,验证通过,,,"测试时间：2020.05.18 16:55
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,5月15日,chrome,逻辑错误,消息发送限制新建失败，点击确定不响应,,最重要,验证通过,,,"测试时间：2020.05.18 16:50
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,5月15日,chrome,逻辑错误,发送限制页面，提示语非必填项，请优化,,一般,验证通过,,,"测试时间：2020.05.18 16:50
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,5月15日,chrome,逻辑错误,模板配置页，已上传的模板ICON在展示列表界面，没有显示,,最重要,验证通过,,,"测试时间：2020.05.18 17:55
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,5月15日,chrome,逻辑错误,名单新建手机号，输入11位数字后，不能正常保存,,最重要,验证通过,,,"测试时间：2020.05.18 16:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月15日,chrome,逻辑错误,消息管理配置-模板管理-自定义模板，模板内容显示有运营人员后台配置的模板,,最重要,验证通过,,,"测试时间：2020.05.18 16:48
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月15日,chrome,逻辑错误,用户审核管理-闪信审核管理，消息类型-快显消息暂无数据,,最重要,验证通过,,,"测试时间：2020.05.18 17:20
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,5月15日,chrome,逻辑错误,模板分类配置更新失败，,,最重要,验证通过,,,"测试时间：2020.05.18 16:48
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月15日,chrome,逻辑错误,消息管理配置-模板管理-通用模板/定制模板，配置模板自定义字段，APP中没有相关模板,,最重要,验证通过,,,"测试时间：2020.05.18 16:45
测试验证通过，待产品确认",,,,
TRUE,,丹丽,,5月15日,chrome,逻辑错误,消息管理配置——发送记录页显示的数据都是虚假数据，没有实际每日的消耗数据,,最重要,验证通过,,,,,,,
TRUE,,丹丽,,5月15日,chrome,功能缺失,业务信息管理——消息发送信息模块没有按需求开发，功能不可用,,一般,验证通过,还木有开发，需要排期开发,,,,,,
TRUE,,清云,,5月15日,chrome,逻辑错误,消息管理配置-模板管理-通用模板/定制模板，配置定制字段$date，APP没有弹出自定义填写字段,,一般,验证通过,请注意有没有正确操作，注意模板的生效时间,,"测试时间：2020.05.18 16:45
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月15日,chrome,界面优化,用户审核管理-闪信审核管理，实名认证应改成是否实名认证，敏感词筛选应改成敏感词筛查,,一般,验证通过,,,"测试时间：2020.05.18 16:45
测试验证通过，待产品确认",,,,
TRUE,,欧龙,,5月18日,chrome,逻辑错误,【认证管理】编辑内的上下架无法更换状态，仅能通过列表点击上下架才能更换状态；,测试域名不行，图片上传无法测试，需现网上线,最重要,验证通过,需现网上线，测试域名不行,,"测试时间：2020.06.03 16:25
测试验证已修复，待产品确认",,,,
TRUE,,欧龙,,5月18日,chrome,逻辑错误,【认证管理】修改默认图标：修改失败，无法修改默认图标没有更新；,测试域名不行，图片上传无法测试，需现网上线,最重要,验证通过,,需现网上线，测试域名不行,"测试时间：2020.06.03 16:25
测试验证已修复，待产品确认",,,,
FALSE,,欧龙,,5月18日,chrome,界面优化,【认证管理】添加单个图标，在无原生图标添加时，返回添加失败，逻辑正确，弹窗字显示：添加原生图标状态的记录是，需上传原生图标；,,最重要,验证不通过,,,,,,,
TRUE,,欧龙,,5月18日,chrome,功能缺失,【认证管理】缺少来源字段的逻辑；具体见需求文档；,,最重要,验证通过,,,,,,,
TRUE,,欧龙,,5月18日,chrome,逻辑错误,【认证管理】导出的excel，仅显示当前页面的数据，不是所有的数据；,测试域名不行，图片上传无法测试，需现网上线,最重要,验证通过,需现网上线，测试域名不行,,,,,,
TRUE,,欧龙,,5月18日,chrome,逻辑错误,【认证管理】编辑功能：编辑一个记录的图片，上传新图片后，点击下一个记录的编辑，上传图片模块还是显示为上一次记录上传的图片；需要点击删除后，才能重新上传；（正常来说，应该是为空的）,,最重要,验证通过,,,,,,,
TRUE,,欧龙,,5月18日,chrome,逻辑错误,【认证管理】批量-切换成原生图标功能：无原生图情况下，应该无法切换成原生图标，但是批量功能允许切换成原生图标；,测试域名不行，图片上传无法测试，需现网上线,最重要,验证通过,,需现网上线，测试域名不行,"测试时间：2020.06.03 17:05
测试验证已修复，待产品确认",,,,
TRUE,,清云,,5月20日,chrome,逻辑错误,消息管理配置-限制配置，点击编辑修改，属性显示为1,,一般,验证通过,,,"测试时间：2020.05.20 17:05
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月20日,chrome,逻辑错误,消息管理配置-限制配置，没有配置限制名单，APP发送快显消息发送失败及提示出现负数,,最重要,验证通过,,,"测试时间：2020.05.21 09:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月28日,chrome,逻辑错误,系统管理-账号管理，状态选择正常搜索，列表展示所有记录,,一般,验证通过,,,"测试时间：2020.05.29 09:50
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月28日,chrome,逻辑错误,系统管理-账号管理，新增第二个账号，账号新增页面信息显示上一个新增账号的信息,,一般,验证通过,,,"测试时间：2020.05.29 10:10
测试验证通过，待产品确认",,,,
TRUE,,清云,,5月28日,chrome,逻辑错误,系统管理-账号管理，其他角色账号在此模块时，新增按钮和编辑按钮没有隐藏,,一般,验证通过,,,"测试时间：2020.05.29 16:25
验证测试通过，待产品确认",,,,
TRUE,,清云,,5月28日,chrome,逻辑错误,系统管理-账号管理，管理员账号应该由开发在后台创建,,一般,验证通过,,,"测试时间：2020.05.29 16:30
验证测试通过，待产品确认",,,,
TRUE,,清云,,5月28日,chrome,逻辑错误,系统管理-账号管理新增，用户名包含特殊字符添加成功，包含汉字的点击提交，没有任何的提示,,一般,验证通过,,,"测试时间：2020.05.29 16:35
验证测试通过，待产品确认",,,,
TRUE,,清云,,5月28日,chrome,逻辑错误,系统管理-账号管理新增，姓名填写中文或特殊符号，点击提交没反应，添加失败,,一般,验证通过,,,"测试时间：2020.05.29 16:35
验证测试通过，待产品确认",,,,
TRUE,,清云,,5月29日,chrome,逻辑错误,系统管理-账号管理编辑，编辑完成后点击保存，没有弹出二次确认框；编辑完成后点击取消，也没有弹出二次确认框,,一般,验证通过,,,"测试时间：2020.05.29 18:10
验证测试通过，待产品确认",,,,
FALSE,,清云,,5月29日,chrome,界面优化,系统管理-账号管理，新增/编辑弹出页面的提交按钮，应改成为保存按钮,,一般,已修复待验证,,,,,,,
