FALSE,编号,测试人员,维修人员,日期,修复时间,系统,BUG标签,问题描述,补充信息,优先级,修复状态,备注,版本号,解决情况,,,,,,
TRUE,,广榕,吴嘉佳,4月20日,,Android,逻辑错误,实名认证时，无法感知是否已实名认证通过而多次去点击实名认证，导致生成多张名片,华为nova5pro 安卓10,最重要,产品确认,已修改，待验证,,"测试时间：2020.04.21
测试验证已修复，待产品确认",,,,,,
TRUE,,丹丽,王创彬,4月20日,,Android,逻辑错误,"双卡槽手机，只有一个卡的情况下也会显示卡1 和 卡2的拨号选择
期望：双卡槽手机只有一张卡时，不显示双卡拨号效果","终端类型：坚果 Pro 2
系统版本：Android7.1.1",一般,产品确认,,Android 2.0.0,"测试时间：2020.04.23 10：58
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,吴嘉佳,4月20日,,Android,界面优化,口令管理、实名认证：完善信息后，需触发一次后（点击APP）才能正常点击下一步；,,一般,产品确认,,,"测试时间：2020.04.23 9:28
测试验证已修复，待产品确认",,,,,,
TRUE,,清云,叶计成,4月20日,,Android,逻辑错误,创建新的名片过程中，切换到其他页面没有弹出提示，是否放弃保存当前名片内容？,华为P10,最重要,产品确认,解决方案：不刷新页面，保存编辑的状态回来继续编辑,,"测试时间：2020.04.24 10：00
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,叶计成,4月20日,,Android,逻辑错误,创建新的名片后，可进行的操作应该为编辑，而非“个性签名”,,最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.23 11:06
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,王创彬,4月20日,,Android,兼容性问题,点击联系人3s后闪退；,"终端类型：redmi k20 pro
系统版本：android 10",最重要,产品确认,已修改，待验证,,"测试时间：2020.04.23 9:30
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,吴嘉佳,4月20日,,Android,功能缺失,口令管理-SIM盾口令重置，点击记得未正常调起STK修改口令页面；,"终端类型：redmi k20 pro
系统版本：android 10",最重要,产品确认,已修改，待验证,,"测试时间：2020.04.24 15：30
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,叶计成,4月20日,,Android,逻辑错误,创建新的名片后，点击个性签名（应该为编辑），进入名片编辑页面，个性签名未显示在输入框中,,最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.23 11:11
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,晓程,4月20日,,Android,逻辑错误,把新建个性签名名片设为默认名片后，不能再把实名认证时系统创建的名片设为默认名片,,最重要,产品确认,,,"测试时间：2020.04.23 9:46
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,叶计成,4月20日,,Android,界面优化,创建名片过程，点击界面+号会再出现一个添加名片框,,最重要,产品确认,,,"测试时间：2020.04.23 11:18
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,叶计成,4月20日,,Android,界面优化,消息管理+口令管理+认证管理+SIMEID：的页面顶部标题栏展示多出一部分；,"终端类型：redmi k20 pro
系统版本：android 10",最重要,产品确认,,,"测试时间：2020.04.23 11:41
测试验证已修复，待产品确认",,,,,,
TRUE,,丹丽,王创彬,4月20日,,Android,兼容性问题,移动的号码显示为中国电信，号码三网归属有问题,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.23 9:47
测试验证拨打198开头号码，拨号界面通话记录列表仍是识别为电信      修复版本2.0.6",,,,,,
TRUE,,清云,叶计成,4月20日,,Android,逻辑错误,点击名片中的关联联系人，页面中没有分组及联系人可选,,最重要,产品确认,,,"测试时间：2020.04.26 14:44
测试验证已修复，待产品确认",,,,,,
TRUE,,丹丽,吴嘉佳,4月20日,,Android,界面优化,无法解析电话三网归属情况时，建议不显示（）,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.23 9:52
测试验证已修复，待产品确认；现阶段能拨打特殊号码",,,,,,
TRUE,,欧龙,吴嘉佳,4月20日,,Android,功能缺失,通话记录日期有误；识别解析出来的时间不对；,"终端类型：redmi k20 pro
系统版本：android 10",最重要,产品确认,,,"测试时间：2020.04.24 15：33
测试验证已修复，待产品确认",,,,,,
TRUE,,清云,吴嘉佳,4月20日,,Android,逻辑错误,新建联系人，不填写姓名，新增成功；不填写公司、职位、电话其中一个，没有给出提示,,一般,产品确认,,,"测试时间：2020.04.23 11:47
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,柯晓程,4月20日,,Android,逻辑错误,不能过滤中文敏感词，只能过滤英文敏感词,,最重要,产品确认,,,"测试时间：2020.04.21
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,叶计成,4月20日,,Android,逻辑错误,敏感词校验不通过，提示框点击修改签名，直接返回名片界面,,最重要,产品确认,,,"测试时间：2020.04.23 11:47
测试验证已修复，待产品确认",,,,,,
TRUE,,清云,吴嘉佳,4月20日,,Android,逻辑错误,在分组中选择联系人，左滑点击删除不成功，在联系人页面中还存在,,最重要,产品确认,分组中删除联系人只是从分组中移除,,"测试时间：2020.04.22
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,叶计成,4月20日,,Android,逻辑错误,个性签名剩余字数0的名片，拨打加V电话，闪信发送失败,,最重要,产品确认,,,"测试时间：2020.04.23 11:50
测试验证已修复，待产品确认",,,,,,
TRUE,,清云,吴嘉佳,4月21日,,Android,界面优化,进入分组点击编辑，无任何列表项勾选时，【删除】文字高亮可点击,,一般,产品确认,,,"测试时间：2020.04.24 10：08
测试验证已修复，待产品确认",,,,,,
FALSE,,广榕,吴嘉佳,4月21日,,Android,逻辑错误,联系人界面若有联系人，没有允许获取通讯录权限，进入联系人界面不会弹出获取通讯录权限弹窗；同步获取服务器联系人，不会再获取本地联系人,,最重要,待修复,同步方案待确认,,,,,,,,
TRUE,,广榕,吴嘉佳,4月21日,,Android,逻辑错误,获取通讯录权限后，一直处于导入数据中，无法返回和取消操作，重启APP才能正常使用,华为nova5pro 安卓10,最重要,产品确认,,,"测试时间：2020.04.26 14:45
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,吴嘉佳,4月22日,,Android,逻辑错误,联系人-模糊搜索时，不会显示无数据，而是显示在当前搜索条件的联系人数据。,,最重要,产品确认,,,"测试时间：2020.04.23 10:03
测试验证已修复，待产品确认",,,,,,
TRUE,,清云,吴嘉佳,4月22日,,Android,兼容性问题,APP安装启动时拒绝获取用户通讯录权限且勾选拒绝后不在询问，重新开启权限进入点击联系人出现闪退现象,,一般,产品确认,,,"测试时间：2020.04.24 10：20
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,王创彬,4月22日,5月6日,Android,界面优化,名片按钮的点击热区太大，添加联系人的按钮会误触到名片按钮；,,一般,待修复, ,,,,,,,,
TRUE,,清云,叶计成,4月22日,,Android,逻辑错误,修改新创建名片上的个性签名，显示还是原来的内容,,一般,产品确认,,,"测试时间：2020.04.23 14：25
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,叶计成,4月22日,,Android,功能缺失,实名认证通过后未能自动创建个人名片，等待5分钟后名片出现,"小米手机MI MAX 2 
Android 7.1.1
号码 19802021300",一般,产品确认,"网络不稳定导致的创建延迟？
验证结果是需要手动切换一下界面才能获取到名片信息，没有自动刷新",Android 2.0.0,"测试时间：2020.04.23 10：04
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,叶计成,4月22日,,Android,逻辑错误,创建名片的时候剩余可输入字符数需要改一下@王创彬 ，剩余字符数=总字符数69-“XXX的手机正在给您打来实名加V电话，敬请接听。【个性签名：】”，比如三个字的名字，那开始的剩余字符数应该是38，现在是45,"小米手机MI MAX 2 
Android 7.1.1
号码 19802021300",一般,产品确认,,Android 2.0.0,"测试时间：2020.04.22
测试验证已修复，待产品确认",,,,,,
TRUE,,李霞,王创彬,4月22日,,Android,界面优化,顶部字体高度不同,,一般,产品确认,,Android 2.0.0,"测试时间：2020.05.07 09：15
测试验证已修复，待产品确认",,,,,,
TRUE,,丹丽,王创彬,4月22日,,Android,功能缺失,"拨号界面的展示的拨号记录既不可以点击也不支持搜索过滤，就只能点！进入详情，体验不好
期望：拨号记录支持点击，点击后把号码填入拨号输入框，在号码输入框输入号码时支持同步过滤拨号记录","终端类型：坚果 Pro 2
系统版本：Android7.1.1",一般,产品确认,功能交互优化建议,Android 2.0.0,"这个不是bug是产品就是这样的，已优化为点击进入详情
测试时间：2020.04.26 14:47
测试验证已优化为点击记录就可以进入详情，无搜索，待产品确认",,,,,,
TRUE,,少东,叶计成,4月22日,,Android,功能缺失,拨打加V电话前创建了两张名片，拨号时选择有个性签名的名片，呼出后仍然是以无个性签名的名片呼出，第二次重新拨号才带有个性签名。,"小米手机MI MAX 2 
Android 7.1.1
号码 19802021300",最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.22
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,吴嘉佳,4月22日,,Android,功能缺失,新建分组时，添加完联系人之后点击完成，提示验签失败，无法创建分组,"小米手机MI MAX 2 
Android 7.1.1
号码 19802021300",最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.22
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,吴嘉佳,4月22日,,Android,逻辑错误,联系人按字母分段不准确：（例如：阿应该是在A字母，但是目前在E字母的；）,,一般,产品确认,,Android 2.0.0,"测试时间：2020.04.28 17:38
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,吴嘉佳,4月22日,,Android,功能缺失,"新建联系人时只输入联系人名称，不输入联系人号码点击完成，直接退出了新建联系人界面，无提示，联系人也未能创建成功。
预期：新建联系人时联系人姓名及电话为必填字段，其他为选填，必填字段确实应提示用户填写号码或姓名，填写后才能完成新建",,最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.23 11:53
测试验证已修复，待产品确认",,,,,,
TRUE,,丹丽,王创彬,4月22日,,Android,逻辑错误,"通讯录中新建联系人后拨号，拨号记录中显示的是电话号码不是联系人名字
期望：显示联系人名字","终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.26 14:48
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,吴嘉佳,4月22日,,Android,逻辑错误,联系人模块的右边字母无法点击跳转到对于字母的联系人上,,一般,产品确认,,,"测试时间：2020.04.24 15:53
测试验证已修复，待产品确认",,,,,,
TRUE,,丹丽,,4月22日,,Android,逻辑错误,通话记录中出现显示日期为 2-0（看不懂系列），而且通话记录跟手机系统的通话记录不一致,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.24
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,4月22日,,Android,界面优化,拨号记录中来电和去电的图标很相似，很难区分，一眼看过去都一样，建议优化,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",一般,待修复,UI优化建议,Android 2.0.0,UI就是这样的,,,,,,
TRUE,,丹丽,黄宇鹏/李宗亮,4月22日,,Android,逻辑错误,签到界面显示异常，无任何数据,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.22
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,,4月22日,,Android,功能缺失,认证管理模块无数据；原因：签名方式逻辑变更；,,最重要,产品确认,,,只有号码认证有数据，其他的没有数据,,,,,,
TRUE,,丹丽,计成,4月22日,,Android,逻辑错误,"个性签名名片-点击输入框，键盘展开时APP的地址栏会被推起再隐藏
期望：不会推起地址栏",,最重要,产品确认,,Android 2.0.0,"测试时间：2020.04.27 14:18
测试验证通过，待产品确认",,,,,,
TRUE,,欧龙,,4月22日,,Android,功能缺失,口令管理的手机快捷登陆链接改为：https://yzhk.cmpassport.com/simpub/simquick/#/,,一般,产品确认,,,手机号不支持快捷登录，麻烦bug提交人确认一下,,,,,,
TRUE,,广榕,,4月22日,,Android,功能缺失,通话详情没有区分是卡1还是卡2拨打出去的电话；清空按钮也没有,华为nova5pro 安卓10,最重要,产品确认,,,"测试时间：2020.04.24
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月22日,,Android,界面优化,联系人搜索无任何联系人时，界面还会有提示通讯录权限受限提示,华为nova5pro 安卓10,一般,产品确认,,,"测试时间：2020.04.23 11:54
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,,4月23日,,Android,逻辑错误,在创建名片的时候输入敏感词，前端能正确提示个性签名中含有违规内容，请您调整后再提交，点击修改签名未能跳转到该名片的编辑界面，而是直接显示该名片创建完成，会使用户误以为该名片可用。,,最重要,产品确认,点击修改签名，是跳到已有的个性签名名片编辑状态,,"测试时间：2020.04.26 14:55
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,,4月23日,,Android,界面优化,已创建好的名片点击关联联系人进入添加关联联系人页面，不显示联系人列表并且顶部展示不完全；编辑状态关联联系人失败,"小米手机MI MAX 2 
Android 7.1.1",一般,产品确认,,,"测试时间：2020.04.24 16:05
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,林陈胜,4月23日,,Android,功能缺失,认证管理-号码认证无3月份数据；19802021443,,最重要,产品确认,,,"测试时间：2020.04.24 16:05
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,,4月23日,,Android,功能缺失,"创建好的名片在删除时没有弹出二次确认框，容易导致用户误删除名片
期望结果：在编辑名片时点击删除弹出二次确认框，文案：是否确认删除该名片？点击确认后再删除",,最重要,产品确认,,,"测试时间：2020.04.24 16:10
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,叶计成,4月23日,,Android,逻辑错误,在名片界面创建好的名片序号为名片1、名片2……在拨号界面输入11位手机号后展示的名片选择列表中名片序号为73、108，序号显示错误,,最重要,产品确认,,,"测试时间：2020.04.24
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,林陈胜,4月23日,,Android,逻辑错误,认证管理-SIM盾显示数据错误（名称、用户操作结果；）,,最重要,产品确认,,,"测试时间：2020.04.26 14:57
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,吴嘉佳,4月23日,,Android,逻辑错误,实名认证网络异常弹窗显示：身份校验不通过；,,最重要,产品确认,,,"测试时间：2020.04.26 14:58
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,嘉佳 、计成,4月23日,,Android,功能缺失,每次更新APP都需要卸载掉上个版本才能正常使用下一个版本的；,,最重要,待修复,"这不是bug,开发初期经常要修改数据库导致，上线后不会有这个问题",,,,,,,,
TRUE,,欧龙,林陈胜、SIM同事,4月23日,,Android,逻辑错误,SIM盾签名-中国银行名称显示为乱码；需SIM同事处理；预计周5；,,最重要,产品确认,已修复，目前测试没有SIM盾签名-中国银行测试，正式环境数据正常,,"测试时间：2020.04.26 14:59
目前测试没有SIM盾签名-中国银行测试,麻烦提交人验证一下",,,,,,
TRUE,,广榕,,4月23日,,Android,界面优化,拨号列表查看名片和联系人通话记录查看名片颜色提示相反了,,一般,产品确认,,,"测试时间：2020.04.26 15:00
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月24日,,iOS,逻辑错误,获取通讯录，点击联系人闪退,"IPhone XS MAX
IOS13.3.1",最重要,产品确认,,,"测试时间：2020.04.24 14:16
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月24日,,iOS,逻辑错误,拨打用户号码成功后(不管是加V还是普通电话)，拨号界面列表没有拨打记录,"IPhone XS MAX
IOS13.3.1",最重要,产品确认,,,"测试时间：2020.04.26 10:11
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月24日,,iOS,逻辑错误,第一次拨打呼叫没有霸屏效果，第二次拨打呼叫才有,"IPhone XS MAX
IOS13.3.1",最重要,产品确认,,,"测试时间：2020.04.26 10:11
SIM侧的问题 ,闪信和短信下发都有几分钟的延迟",,,,,,
FALSE,,广榕,,4月24日,,iOS,逻辑错误,H5页，点击“APP”内打开是跳转至下载页,"IPhone XS MAX
IOS13.3.1",最重要,待修复,,,,,,,,,
TRUE,,广榕,计成,4月24日,,iOS,功能缺失,用加V拨打非移动号码，没有拨打出去也没有任何提示,"IPhone XS MAX
IOS13.3.1",最重要,产品确认,,,"测试时间：2020.04.26 10:23
测试验证已修复，待产品确认",,,,,,
TRUE,,清云,计成,4月24日,,Android,逻辑错误,关联了联系人的名片设为默认名片设置不成功,,最重要,产品确认,,,"测试时间：2020.04.26 14:31
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,计成,4月24日,,iOS,逻辑错误,实名认证，不能完成实名认证，刷脸验证身份时APP出现闪退和卡死,"IPhone XS MAX
IOS13.3.1",最重要,产品确认,未重现，实名认证通过，iphone7 plus，xs max才有，待测试机测试,,"测试时间：2020.04.27 14:20
测试验证通过，待产品确认",,,,,,
TRUE,,清云,计成,4月24日,,Android,逻辑错误,不同的名片关联的联系人允许重复，期望结果是不允许重复,,最重要,产品确认,,,"测试时间：2020.04.27 14:51
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,柯晓程,4月24日,,iOS,功能缺失,IOS人脸识别，后台服务器接口不通，人脸识别失败,"IPhone 8PLUS
IOS12.0.1",最重要,产品确认,,,"测试时间：2020.04.26 11:36
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月24日,,iOS,界面优化,名片个性签名使用回车导致霸屏预览超过屏幕，会导致预览暂时不完全和不能关闭,,一般,产品确认,,已经禁止用户输入换行符,"测试时间：2020.04.26 14:09
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月24日,,Android,界面优化,名片个性签名使用回车导致霸屏预览超过屏幕，会导致预览暂时不完全和不能关闭,,一般,产品确认,,已经禁止用户输入换行符,"测试时间：2020.04.26 14:09
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月24日,,iOS,界面优化,个性签名由于回车导致文本超过编辑框高度，会导致不能修改个性签名,,一般,产品确认,,已经禁止用户输入换行符,"测试时间：2020.04.26 14:10
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月24日,,Android,界面优化,个性签名由于回车导致文本超过编辑框高度，会导致不能修改个性签名,,一般,产品确认,,,"测试时间：2020.04.26 14:10
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月24日,,iOS,逻辑错误,个性签名名片可以添加关联联系人，但是不能移除已关联的联系人,,最重要,产品确认,,,"测试时间：2020.04.26 14:10
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月24日,,iOS,功能缺失,拨打加V电话，闪信发送失败没有提示,,最重要,产品确认,,,"测试时间：2020.04.26 14:24
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月24日,,iOS,功能缺失,拨打加V电话，被呼号码为非移动号码时无法呼叫且没有提示,一些特殊号码，比如10086、12560也是无法拨打和无任何提示,最重要,产品确认,,,"测试时间：2020.04.26 14:25
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,王创彬,4月24日,,iOS,功能缺失,联系人详情界面，通话记录无任何数据（有拨打过电话）,,最重要,产品确认,,,"测试时间：2020.04.26 14:26
测试验证已修复（但没有接听记录，和通讯录测试也是没有），待产品确认",,,,,,
TRUE,,清云,,4月24日,,Android,逻辑错误,点击名片-编辑-删除弹出框中的确定按钮，删除不成功，名片还存在,,最重要,产品确认,,,"测试时间：2020.04.26 14:29
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,计成,4月26日,,Android,功能缺失,创建好的名片点击关联联系人无法后无法保存关联的联系人，也无法在关联联系人界面搜索联系人,,最重要,产品确认,新建个性名片，关联联系人时，分组不能关联，单个联系人可以关联,,"测试时间：2020.04.27 14:38
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月26日,,iOS,功能缺失,创建好的名片点击关联联系人无法后无法保存关联的联系人，也无法在关联联系人界面搜索联系人,,最重要,产品确认,新建个性名片，关联联系人时，分组不能关联，单个联系人可以关联,,"测试时间：2020.4.27 15:38
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,,4月26日,,Android,逻辑错误,在无网络链接时，创建的其他名片点击设为默认名片时未能给出正确提示，应提示网络链接异常,,一般,产品确认,,,"测试时间：2020.04.27 14:40
测试验证已修复，待产品确认",,,,,,
TRUE,,少东,计成,4月26日,,Android,逻辑错误,创建新的名片设为默认名片后，名片排序发生了变化，系统默认创建的名片由名片1变成了名片4.原本的名片4变成了名片1.期望结果：名片可以修改是否为默认名片，但位置和序号不变,,最重要,产品确认,,,"测试时间：2020.04.27 14:43
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月26日,,iOS,逻辑错误,本地没有联系人，服务器同步过来的联系人和APP里新建的联系人都只有名字没有号码,,最重要,产品确认,,,"测试时间：2020.4.27 15:40
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月26日,,iOS,逻辑错误,删除联系人分组，APP一直停留在请求发送中，无法进行其他操作,,最重要,产品确认,,,"测试时间：2020.04.29 16:03
测试验证已修复，待产品确认",,,,,,
TRUE,,清云,,4月27日,,Android,逻辑错误,在通话列表中点击通话记录进入详情页面，单卡点击普通拨号没有直接呼出电话，还是跳转至拨号界面,,最重要,产品确认,,,"测试时间：2020.04.28 17:46
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月27日,,iOS,逻辑错误,苹果单卡手机，通话列表中点击通话记录进入详情页面，点击普通拨号没有直接呼出电话，还是跳转至拨号界面,,最重要,产品确认,,,"测试时间：2020.04.29 16:02
测试验证已修复，待产品确认",,,,,,
TRUE,,欧龙,王创彬,4月27日,5月6日,Android,界面优化,"登陆页
1.底部未居中；
2.字体太大；
3.协议位置不对；",,一般,待修复,,,"测试时间：2020.05.06 20:01
测试验证已修复，待产品确认
",,,,,,
TRUE,,广榕,,4月28日,,Android,逻辑错误,未接听电话，在拨号界面没有标红，通话记录里有标红,,最重要,产品确认,,,"测试时间：2020.04.28 17:49
测试验证已修复，待产品确认",,,,,,
TRUE,,广榕,,4月28日,,Android,功能缺失,呼叫进来的加V电话不能查看名片,,最重要,产品确认,,,"测试时间：2020.04.29 15:58
测试验证已修复，待产品确认
",,,,,,
TRUE,,广榕,嘉佳,4月28日,,Android,界面优化,通话详情-拨打进来的电话没有区分是否为加V电话,,一般,产品确认,,,"测试时间：2020.05.06 19:59
测试验证已修复，待产品确认
",,,,,,
FALSE,,欧龙,,4月29日,,Android,逻辑错误,"【认证管理】SIM盾签名
退出登录后，重新登陆，原本已读的状态恢复成未读状态；
期望：状态保存后台，即便用户删除或更新APP仍未用户已操作的状态；",,最重要,待修复,,,,,,,,,
TRUE,,广榕,,4月30日,,iOS,兼容性问题,新建名片-个性签名敏感词不通过，弹窗点击修改签名，修改的编辑框错误（修改上一个签名去了）,,一般,待修复,P30 Pro（Android 9）,,,,,,,,
TRUE,,广榕,,4月30日,,Android,兼容性问题,新建名片-个性签名敏感词不通过，弹窗点击修改签名，修改的编辑框错误（修改上一个签名去了）,,一般,待修复,IPhone XS（IOS 12.3.1）,,,,,,,,
FALSE,,少东,,5月7日,,Android,功能缺失,"超级号联系人列表只在安装的第一次同步本地联系人列表，后续在本地联系人列表新增和删除的操作没有在超级号APP联系人同步
期望结果：超级号联系人与本地联系人实时同步，保持一致",,最重要,待修复,,,,,,,,,
FALSE,,广榕,,5月8日,,Android,功能缺失,名片关联联系人界面，不能搜索联系人,,最重要,待修复,,,,,,,,,
FALSE,,广榕,,2020/5/7,,Android,逻辑错误,安装APP后禁止所有权限，进入加V拨号界面不能获取通话记录，且无任何提示,,最重要,待修复,,,,,,,,,
FALSE,,少东,,2020/5/7,,Android,逻辑错误,首次安装APP后进入APP，先出现登录界面后出现功能介绍页，顺序错误，应先出现引导页，看完引导页后再出现登录页,,最重要,待修复,,,,,,,,,
FALSE,,,,2020/5/13,,Android,,湘总手机名片不能关联联系人,领导体验发现的问题,最重要,待修复,,,,,,,,,
FALSE,,,,2020/5/13,,Android,,熊总手机快显消息管理-发送普通短信，手机崩溃，MATE30 Pro,领导体验发现的问题,最重要,待修复,,,,,,,,,
TRUE,,欧龙,,2020/5/13,,iOS,逻辑错误,【实名认证、口令管理】三要素的身份证填写IOS需要支持输入字母；,,最重要,待修复,,,,,,,,,
FALSE,,，,,2020/5/14,,Android,界面优化,"+86手机号，加V拨打界面是不能输入加号
086手机号，号码前加086，呼叫会跳到手机自带呼叫界面",,一般,待修复,,,,,,,,,
