,编号,测试人员,维修人员,日期,系统,BUG标签,问题描述,补充信息,优先级,待修复,备注,版本号,解决情况,,,,,
,,丹丽,连子,2020年7月8日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
快显消息——发送输入框区域的样式异常，显示宽度没有占满屏幕宽度",,最重要,待修复,iphone 8P 也存在同样问题，感觉不是个别机型问题，需要修复,,,,,,,
,,少东,青云,2020/7/8,Android,逻辑错误,运营管理后台-运营配置管理-5G快签配置，将每周限制下架后，调整新用户免费次数，提示新用户免费次数不得大于每周限制。,,最重要,待修复,,,,,,,,
,,欧龙,作伍,2020年7月8日,Android,兼容性问题,"终端类型：redmi k20 pro
快显消息二次认证设置，点击指纹认证显示出错；如图",,一般,待修复,机型适配，这台redmi k20 pro手机无法拉起指纹功能，改动较大8号版本上线后再修复,,,,,,,
,,欧龙,,2020年7月8日,Android,兼容性问题,"终端类型：redmi k20 pro
快显消息二次认证设置，点击密码认证显示指纹认证；",,最重要,待修复,系统捆绑问题，无法改，非bug,,,,,,,
,,少东,佳嘉,2020/7/8,Android,逻辑错误,"5G快签发起签署后进入人脸识别界面，点击开始人脸识别验证后，点击示例动画，界面返回到人脸识别界面，提示人脸识别中断。
第二次再进入点击示例动画则正常。",,最重要,已修复待验证,,,,,,,,
,,少东,嘉佳,2020/7/8,Android,界面优化,通讯录中字母指引，ABDHLOWYZ#，其中字母W排列明显突出，靠左，未与其他字母对齐,,不紧急,验证通过,,,,,,,,
,,丹丽,,2020年7月8日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
收件人输入框，输入+86就会自动清空",,一般,待修复,,,,,,,,
,,丹丽,,2020年7月8日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
号卡体检检测结果“支持”/“不支持”样式异常，感觉文字显示被截去一小部分",,一般,待修复,,,,,,,,
,,丹丽,,2020年7月8日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
快显消息——点击【发送】后——点击【确认发送】半天没有任何反应，等好几秒才显示发送结果页",线上包也存在这个问题，而且出现闪信都已经收到了还没跳转到结果页，需要优化解决,最重要,待修复,"等接口返回后才会跳转到详情页，网速慢或者手机慢都会导致等待时间长。
不是bug",,,,,,,
,,少东,,2020/7/8,Android,界面优化,小米MAX2 手机 启动页中国移动logo被遮挡,,一般,待修复,,,,,,,,
,,丹丽,梓杰,2020年7月9日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
快显消息——收件人输入框输入手机号后，点击任意匹配号码，没有选中，会先收起键盘，需要再次点击才能选中
期望：
点击能够选中匹配号码",,最重要,待修复,要重新打包,,已改,,,,,
,,丹丽,,2020年7月9日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
快显消息——联系人搜索框输入手机号后，点击任意匹配号码，没有选中，会先收起键盘，需要再次点击才能选中
期望：
点击能够选中匹配号码",,最重要,待修复,与上条重复,,,,,,,
,,丹丽,,2020年7月9日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
普通消息发送，没有授权前会显示消息已发出去
期望：没有授权前不显示消息发出效果",,最重要,待修复,复现,,,,,,,
,,丹丽,,2020年7月9日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
普通消息发送，没有授权前会显示消息已发出去
期望：没有授权前不显示消息发出效果",,最重要,待修复,与上条重复,,,,,,,
,,丹丽,梓杰,2020年7月9日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
账号与安全——个人头像界面，进入后会闪下默认头像，就消失了，IOS没有问题
期望：修复bug",,最重要,待修复,要重新打包,,已改,,,,,
,,丹丽,连子,2020年7月9日,Android,逻辑错误,"终端类型：iphone8p
系统版本：ios 12.4.1
快显消息收件人输入框，添加联系人icon位置错误，没有居中显示",,一般,待修复,,,待改,,,,,
,,欧龙,,2020年7月9日,Android,逻辑错误,号卡套餐：支付了加v、快签，没有成功添加次数；,,最重要,验证通过,,,,,,,,
,,丹丽,连子,2020年7月9日,Android,逻辑错误,"终端类型：iphone8p
系统版本：ios 12.4.1
快显消息-我的发送记录，搜索不可用，搜索输入任意内容不响应
",,最重要,待修复,先在已接收消息搜索，直接切换到我的发送记录搜索不响应，需要重新输入搜索内容才响应,,,,,,,
,,欧龙,,2020年7月9日,Android,逻辑错误,号卡套餐：点击支付调起收银台的支付页面，显示的是测试环境的样式，需确认是否接错；之前用正式环境不是这个样式；,待系统部上线修复问题,最重要,待修复,,,,,,,,
,,丹丽,,2020年7月9日,Android,逻辑错误, ,,不紧急,待修复,复现,,,,,,,
,,少东,王创彬,2020/7/9,Android,界面优化,部分手机 如一加、华为P20 邀请好友海报客户端显示会不完整。期望结果：邀请好友海报显示完整,,最重要,已修复待验证,要重新打包,,已改,,,,,
,,少东,,2020/7/9,运营管理后台,逻辑错误,运营管理后台-加V电话配置和5G快签配置，每个限制条件都需要配置客户端才能正常使用功能，此逻辑有误。实际运营时应允许只配置某一种限制周期，如只配置每年限制,,最重要,待修复,,,,,,,,
,,少东,,2020/7/9,Android,界面优化,加V电话-通讯录界面，点击搜索弹起键盘时，底部TAB栏会闪现在键盘顶部，随后消失,,最重要,待修复,复现,,安卓机制问题,,,,,
,,少东,,2020/7/9,Android,界面优化,偶现，小米手机MAX2 某次打开APP后顶部状态栏出现一条灰色边，退出APP重新进入后恢复正常,,一般,待修复,未复现,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,少东,,2020/7/9,Android,界面优化,本地联系人中保存联系人姓名 欧龙，电话19802021443 ，在5G快签添加个人签署方时通过通讯录添加欧龙，号码显示正常，但姓名显示错误，显示成了号码，未显示联系人姓名,,最重要,待修复,CFCA侧数据问题,,,,,,,
,,欧龙,,2020年7月9日,Android,逻辑错误,消息管理-主界面，点击搜索弹起键盘时，底部TAB栏会闪现在键盘顶部，随后消失,,,,复现,,安卓机制问题,,,,,
,,欧龙,,2020年7月9日,Android,逻辑错误,"机型：redmi K20 pro
消息管理，进入短信内容，点击删除时，选中的短信内容不会删除，会把最下面的那条短信删除",,,,未复现,,待改,,,,,
,,欧龙,梓杰,2020年7月9日,Android,界面优化,"机型：redmi K20 pro
5G快签点击进入文件列表，搜索模块右边留白太多；",, ,,待重新打包,,已改,,,,,
,,欧龙,,2020年7月9日,Android,功能优化,"原本逻辑：开启来电识别后，需要点击进记录，才会loading近一周来电识别；
改：开启来电识别后（通讯录、悬浮窗授权后），在主页直接loading近一周的来电识别；并显示出来；",,,已修复待验证,复现,,,,,,,
,,欧龙,叶计成,2020年7月9日,Android,功能优化,号卡套餐：5G快签里的次数和5G快签呢我的里面的剩余次数保持一致；,,,已修复待验证,,,,,,,,
,,欧龙,,2020年7月9日,Android,逻辑错误,库中无此人，需求应该是显示，公安库无此人。但是实际上显示的是，身份校验失败,,,待修复,,,,,,,,
,,欧龙,,2020年7月13日,Android,逻辑错误,号码为SIM盾卡也支持快捷，但是显示不支持；,,,验证通过,,,,,,,,
,,欧龙,,2020年7月9日,Android,逻辑错误,"通信安全：
每次点击来电识别，都会自动重复识别号码；",,,待修复,,,,,,,,
